,,Alt[ft],MN,VTAS,P0[kPa],Pt0[kPa],T0[K],Tt0[K],SpHum[kg/kg],ThermalEff,ThermalEff_ideal,ThermalEff_HPC,FAR,W2[kg/s],Pt2[kPa],Tt2[K],Tt2[R],MN2,W25[kg/s],Pt25[psi],Pt25[kPa],Tt25[R],Tt25[K],MN25,W3[kg/s],Pt3[psi],Pt3[kPa],Tt3[R],Tt3[K],T041[R],T04[R],W41[kg/s],Tt41[R],Tt41[K],Pt41[kPa],MN41,Tt4[R],Tt4[K],Pt4[kPa],W4[kg/s],MN4,WtcqW3[-],W45[kg/s],Pt45[psi],Pt45[kPa],Tt45[R],Tt45[K],MN45,W5[kg/s],Pt5[psi],Pt5[kPa],Tt5[R],Tt5[K],MN5,eff_TrbH,effPoly_TrbH,TrbH_NcqNcDes,TrbH_WcqWcDes,TrbH_PR,eff_TrbL,effPoly_TrbL,TrbL_NcqNcDes,TrbL_WcqWc,TrbL_PR,NetThrust[lbf],NetThrust[kN],GrossThrust[lbf],RamDrag[lbf],SFC[lbm/hr/lbf],D[in],Wf[lbm/s],Wf[kg/s],BPR,OPR,CmpH_PR,CmpH_Wc,NcPct_H,CmpL_PR,CmpL_Wc,NcPct_L,CmpF_PR,CmpF_Wc,NcPct_F,ThroatMach,ThroatArea[in2],ThroatDia[in],ExitMach,SecMach,ExitTt[R],ExitPt[psi],Iter,Jaco
Case,1,0,0,0,101.33,101.32,288.15,288.15,0,0.4671,0.5174,0.4801,0.03109,336.273,101.222,288.147,518.665,0.591,55.3,47.13,324.97,746.14,414.52,0.35,44.675,440.77,3038.97,1471.42,817.46,3140.4,3269.2,50.1,3140.4,1744.6,2874.9,0,3269.2,1816.2,2874.9,46.1,0.1,0.13134,52.818,129.68,894.1,2466.1,1370.05,0.352,56.689,34.47,237.65,1815.83,1008.79,0.401,0.8846,0.8707,1.007,1,3.197,0.8994,0.884,0.995,1,3.762,27292.8,121.4,27292.8,0,0.403859,61.107,3.0618,1.3888,5.08,29.99,9.352,45.593,100,1.909,78.015,99,1.7,742.106,99,1,299.21,19.52,1,0.87,1815.83,34.14,1,0
Case,2,0,0,0,101.33,101.32,288.15,288.15,0,0.4714,0.5129,0.4754,0.03034,331.437,101.222,288.147,518.665,0.577,53.44,45.39,312.98,736.03,408.91,0.349,43.172,422.13,2910.49,1450.6,805.89,3088.6,3215.5,48.4,3088.6,1715.9,2753.3,0,3215.5,1786.4,2753.3,44.5,0.1,0.13134,51.009,123.96,854.7,2422.25,1345.7,0.352,54.75,32.96,227.28,1782.13,990.07,0.4,0.8844,0.8704,1.008,1,3.203,0.8987,0.8831,0.981,1.002,3.761,26304,117,26304,0,0.395165,61.107,2.8873,1.3097,5.2,28.72,9.299,45.436,99.9,1.858,76.03,96.9,1.682,731.435,96.7,1,299.21,19.52,1,0.86,1782.13,32.65,1,0
Case,3,0,0,0,101.33,101.32,288.15,288.15,0,0.4793,0.5025,0.4658,0.02864,320.109,101.222,288.147,518.665,0.547,50.048,42.89,295.73,722.04,401.14,0.341,40.431,387.52,2671.84,1412.39,784.66,2977.7,3099.8,45.2,2977.7,1654.3,2527.6,0,3099.8,1722.1,2527.6,41.6,0.1,0.13134,47.703,113.53,782.76,2329.23,1294.02,0.352,51.206,30.16,207.97,1710.06,950.03,0.4,0.8846,0.8704,1.012,1,3.21,0.8977,0.8818,0.965,1.003,3.764,24190.6,107.6,24190.6,0,0.379968,61.107,2.5532,1.1581,5.4,26.37,9.035,44.605,99.4,1.804,72.819,94,1.637,706.435,93.3,1,299.21,19.52,1,0.84,1710.06,29.87,1,0
Case,4,0,0,0,101.33,101.32,288.15,288.15,0,0.483,0.4972,0.4611,0.02783,314.522,101.222,288.147,518.665,0.532,48.545,41.91,288.94,716.7,398.17,0.337,39.218,372.22,2566.38,1395.31,775.17,2924.8,3044.6,43.8,2924.8,1624.9,2427.8,0,3044.6,1691.4,2427.8,40.3,0.1,0.13134,46.239,108.95,751.2,2285.12,1269.51,0.352,49.637,28.93,199.47,1675.87,931.04,0.4,0.8848,0.8705,1.014,1,3.213,0.8974,0.8814,0.96,1.003,3.766,23199.2,103.2,23199.2,0,0.373402,61.107,2.4063,1.0915,5.48,25.33,8.882,44.118,99.2,1.786,71.445,92.8,1.614,694.106,91.9,1,299.21,19.52,1,0.82,1675.87,28.65,1,0
Case,5,0,0,0,101.33,101.32,288.15,288.15,0,0.4848,0.4944,0.4587,0.02743,311.685,101.222,288.147,518.665,0.525,47.802,41.42,285.6,714.14,396.75,0.335,38.617,364.74,2514.78,1386.97,770.54,2898.9,3017.4,43.2,2898.9,1610.5,2379,0,3017.4,1676.3,2379,39.7,0.1,0.13134,45.515,106.72,735.78,2263.5,1257.5,0.352,48.862,28.33,195.33,1659.15,921.75,0.4,0.8848,0.8705,1.016,1,3.214,0.8972,0.8812,0.958,1.004,3.767,22706.4,101,22706.4,0,0.370304,61.107,2.3356,1.0594,5.52,24.82,8.805,43.872,99,1.778,70.761,92.3,1.603,687.843,91.3,1,299.21,19.52,1,0.82,1659.15,28.06,1,0
Case,6,0,0,0,101.33,101.32,288.15,288.15,0,0.4861,0.4924,0.4569,0.02716,309.628,101.222,288.147,518.665,0.52,47.281,41.08,283.24,712.39,395.77,0.333,38.196,359.56,2479.08,1381.25,767.36,2881.1,2998.8,42.7,2881.1,1600.6,2345.2,0,2998.8,1666,2345.2,39.2,0.1,0.13134,45.009,105.17,725.12,2248.7,1249.28,0.352,48.319,27.91,192.46,1647.73,915.41,0.4,0.8849,0.8705,1.017,1,3.215,0.897,0.881,0.956,1.004,3.768,22358.5,99.5,22358.5,0,0.368301,61.107,2.2874,1.0375,5.55,24.47,8.753,43.702,98.9,1.771,70.273,91.9,1.596,683.305,90.8,1,299.21,19.52,1,0.81,1647.73,27.65,1,0
Case,7,0,0,0,101.33,101.32,288.15,288.15,0,0.4777,0.4817,0.4477,0.02582,298.853,101.222,288.147,518.665,0.495,44.6,39.21,270.31,702.75,390.42,0.326,36.03,333.38,2298.61,1351.77,750.99,2791.4,2904.9,40.2,2791.4,1550.8,2174.5,0,2904.9,1613.9,2174.5,37,0.1,0.13134,42.408,97.35,671.23,2174.07,1207.82,0.352,45.53,25.89,178.51,1591.22,884.01,0.399,0.8851,0.8707,1.021,1,3.221,0.8962,0.8799,0.946,1.005,3.76,20593.9,91.6,20593.9,0,0.358547,61.107,2.0511,0.9304,5.7,22.69,8.504,42.901,98.5,1.733,67.717,89.7,1.556,659.526,88.3,0.944,299.21,19.52,0.94,0.79,1591.22,25.64,1,0
Case,8,0,0,0,101.33,101.32,288.15,288.15,0,0.4775,0.4815,0.4475,0.0258,298.648,101.222,288.147,518.665,0.494,44.552,39.17,270.06,702.55,390.31,0.326,35.992,332.92,2295.41,1351.24,750.69,2789.8,2903.3,40.2,2789.8,1549.9,2171.5,0,2903.3,1612.9,2171.5,36.9,0.1,0.13134,42.362,97.22,670.28,2172.76,1207.09,0.352,45.481,25.86,178.28,1590.28,883.49,0.399,0.8851,0.8707,1.021,1,3.221,0.8962,0.8799,0.945,1.005,3.76,20561.9,91.5,20561.9,0,0.358401,61.107,2.0471,0.9285,5.7,22.65,8.5,42.89,98.5,1.732,67.673,89.6,1.555,659.074,88.3,0.942,299.21,19.52,0.94,0.79,1590.28,25.61,1,0
Case,9,0,0,0,101.33,101.32,288.15,288.15,0,0.4702,0.4744,0.4414,0.02502,291.69,101.222,288.147,518.665,0.479,42.912,37.98,261.87,696.36,386.87,0.322,34.666,317.35,2188.03,1333.34,740.75,2736.7,2847.8,38.7,2736.7,1520.4,2069.9,0,2847.8,1582.1,2069.9,35.5,0.1,0.13134,40.775,92.57,638.24,2128.73,1182.63,0.352,43.779,24.76,170.74,1558.55,865.86,0.396,0.8852,0.8707,1.024,1,3.224,0.8956,0.8793,0.938,1.005,3.738,19492.2,86.7,19492.2,0,0.353206,61.107,1.9124,0.8675,5.8,21.59,8.355,42.415,98.2,1.707,66.09,88.2,1.53,643.717,86.7,0.902,299.21,19.52,0.9,0.77,1558.55,24.53,1,0
Case,10,0,0,0,101.33,101.32,288.15,288.15,0,0.4689,0.473,0.4403,0.02489,290.409,101.222,288.147,518.665,0.476,42.616,37.76,260.37,695.22,386.23,0.321,34.427,314.58,2168.94,1330.15,738.97,2727.4,2838.1,38.4,2727.4,1515.2,2051.8,0,2838.1,1576.7,2051.8,35.3,0.1,0.13134,40.489,91.74,632.54,2121.02,1178.35,0.352,43.473,24.58,169.46,1553.14,862.86,0.395,0.8853,0.8707,1.024,1,3.225,0.8955,0.8792,0.936,1.005,3.733,19300.8,85.9,19300.8,0,0.352352,61.107,1.8891,0.8569,5.81,21.41,8.33,42.33,98.1,1.702,65.802,88,1.525,640.892,86.4,0.895,299.21,19.52,0.9,0.77,1553.14,24.35,1,0
